,regrgp_nom,reg_nom,reg_code
0,Province,Bourgogne-Franche-ComtÃ©,27
194,Province,Pays de la Loire,52
271,Province,Auvergne-RhÃ´ne-Alpes,84
412,ÃŽle-de-France,ÃŽle-de-France,11
432,Province,Normandie,28
835,Province,Nouvelle-Aquitaine,75
910,Province,Hauts-de-France,32
1095,Province,Occitanie,76
1193,Province,Provence-Alpes-CÃ´te d'Azur,93
1411,Province,Grand Est,44
1777,DROM-COM,Guadeloupe,1
1784,DROM-COM,Martinique,2
1791,DROM-COM,Guyane,3
1800,DROM-COM,La RÃ©union,4
1807,DROM-COM,Mayotte,6
1813,DROM-COM,CollectivitÃ©s d'outre-mer,0
2017,Province,Centre-Val de Loire,24
2092,Province,Bretagne,53
2160,Province,Corse,94
